,,,,m,m,,,,g
FieldID,Column,Row2,ID2,Northing,Easting,Year,SampleID,Crop,GrainWeightWet
CookEast,15,C,55,5180634.585,493640.8784,2008,,winter wheat,900
CookEast,16,C,56,5180643.584,493671.4302,2008,,winter wheat,1126
CookEast,17,C,57,5180646.296,493704.7095,2008,,winter wheat,964
CookEast,18,C,58,5180624.261,493736.5958,2008,,Fallow,
CookEast,19,C,59,5180636.942,493770.7974,2008,,Garbonzo Beans,368
CookEast,20,C,60,5180639.863,493800.4308,2008,,Garbonzo Beans,241
CookEast,21,C,61,5180623.828,493832.3237,2008,,spring barley,317
CookEast,22,C,62,5180655.297,493862.4421,2008,,spring barley,859
CookEast,23,C,63,5180649.766,493896.169,2008,,winter barley,1004
CookEast,24,C,64,5180645.733,493928.0742,2008,,spring canola,273
CookEast,25,C,65,5180636.922,493959.9746,2008,,spring pea,393
CookEast,26,C,66,5180640.5,493989.6092,2008,,spring pea,412
CookEast,27,C,67,5180638.747,494023.7952,2008,,spring pea,414
CookEast,3,D,68,5180658.22,493264.6337,2008,,spring wheat,369
CookEast,4,D,69,5180655.406,493296.5399,2008,,spring wheat,435
CookEast,5,D,70,5180674.594,493328.4705,2008,,spring wheat,617
CookEast,6,D,71,5180672.003,493360.3768,2008,,spring wheat,635
CookEast,7,D,72,5180681.413,493392.2963,2008,,winter canola,
CookEast,8,D,73,5180680.044,493421.8027,2008,,winter canola,
CookEast,9,D,74,5180665.854,493458.4984,2008,,spring wheat,560
CookEast,10,D,75,5180680.531,493488.0228,2008,,spring wheat,744
CookEast,11,D,76,5180663.606,493519.9137,2008,,winter wheat,560
CookEast,12,D,77,5180673.461,493551.8335,2008,,winter wheat,825
CookEast,13,D,78,5180668.204,493583.737,2008,,winter wheat,546
CookEast,14,D,79,5180675.171,493615.6537,2008,,winter wheat,558
CookEast,15,D,80,5180666.359,493647.5535,2008,,winter wheat,699
CookEast,16,D,81,5180673.992,493679.4708,2008,,winter wheat,707
CookEast,17,D,82,5180678.07,493711.3842,2008,,winter wheat,890
CookEast,18,D,83,5180656.035,493743.2704,2008,,Fallow,
CookEast,19,D,84,5180671.448,493775.1956,2008,,Fallow,
CookEast,20,D,85,5180671.637,493807.105,2008,,Garbonzo Beans,369
CookEast,21,D,86,5180655.602,493838.9978,2008,,spring barley,752
CookEast,22,D,87,5180684.795,493870.9368,2008,,spring barley,837
CookEast,23,D,88,5180681.54,493902.8426,2008,,winter barley,824
CookEast,24,D,89,5180676.141,493935.2029,2008,,spring canola,283
CookEast,25,D,90,5180668.696,493966.648,2008,,spring canola,378
CookEast,26,D,91,5180669.998,493998.5585,2008,,spring pea,405
CookEast,27,D,92,5180670.521,494030.4682,2008,,spring pea,460
CookEast,28,D,93,5180663.489,494062.3704,2008,,spring canola,338
CookEast,29,D,94,5180681.682,494094.2976,2008,,spring canola,254
CookEast,3,E,95,5180689.078,493276.7264,2008,,spring wheat,
CookEast,4,E,96,5180687.174,493308.026,2008,,spring wheat,185
CookEast,5,E,97,5180706.363,493339.9564,2008,,spring wheat,315
CookEast,6,E,98,5180703.771,493371.8625,2008,,spring wheat,542
CookEast,7,E,99,5180713.182,493403.7819,2008,,spring wheat,596
CookEast,8,E,100,5180709.813,493435.6872,2008,,winter canola,776
CookEast,9,E,101,5180699.222,493467.5846,2008,,spring wheat,648
CookEast,10,E,102,5180712.299,493499.5078,2008,,spring wheat,333
CookEast,11,E,103,5180695.374,493531.3986,2008,,winter wheat,239
CookEast,12,E,104,5180707.229,493561.319,2008,,winter wheat,764
CookEast,13,E,105,5180699.973,493595.2216,2008,,winter wheat,471
CookEast,14,E,106,5180706.94,493627.1381,2008,,winter wheat,572
CookEast,15,E,107,5180698.127,493659.0377,2008,,winter wheat,388
CookEast,16,E,108,5180705.761,493690.9548,2008,,winter wheat,524
CookEast,17,E,109,5180706.699,493725.5766,2008,,winter wheat,816
CookEast,18,E,110,5180683.404,493759.1536,2008,,Fallow,
CookEast,19,E,111,5180703.217,493786.6792,2008,,Fallow,
CookEast,20,E,112,5180703.406,493818.5884,2008,,Garbonzo Beans,343
CookEast,21,E,113,5180685.551,493851.8467,2008,,spring barley,633
CookEast,22,E,114,5180716.564,493882.4199,2008,,spring barley,371
CookEast,23,E,115,5180711.488,493915.6912,2008,,winter barley,603
CookEast,24,E,116,5180709.276,493946.2304,2008,,winter barley,575
CookEast,25,E,117,5180700.466,493978.1305,2008,,spring canola,328
CookEast,26,E,118,5180701.767,494010.0409,2008,,spring pea,422
CookEast,27,E,119,5180700.47,494044.2265,2008,,spring pea,376
CookEast,28,E,120,5180695.259,494073.8525,2008,,spring pea,341
CookEast,29,E,121,5180713.451,494105.7794,2008,,spring canola,132
CookEast,4,F,122,5180718.958,493305.3133,2008,,spring wheat,296
CookEast,5,F,123,5180738.147,493337.2435,2008,,spring wheat,439
CookEast,6,F,124,5180735.555,493369.1495,2008,,spring wheat,534
CookEast,7,F,125,5180744.966,493401.0687,2008,,spring wheat,686
CookEast,8,F,126,5180740.797,493434.1733,2008,,winter canola,531
CookEast,9,F,127,5180730.206,493466.0706,2008,,spring wheat,369
CookEast,10,F,128,5180744.083,493496.7941,2008,,spring wheat,451
CookEast,11,F,129,5180727.158,493528.6847,2008,,spring wheat,358
CookEast,12,F,130,5180737.014,493560.6042,2008,,winter wheat,288
CookEast,13,F,131,5180731.757,493592.5074,2008,,winter wheat,471
CookEast,14,F,132,5180738.724,493624.4237,2008,,winter wheat,281
CookEast,15,F,133,5180729.911,493656.3232,2008,,winter wheat,150
CookEast,16,F,134,5180737.545,493688.2401,2008,,winter wheat,371
CookEast,17,F,135,5180741.623,493720.1532,2008,,winter wheat,574
CookEast,18,F,136,5180719.588,493752.0391,2008,,winter wheat,1100
CookEast,19,F,137,5180736.366,493782.1431,2008,,winter wheat,647
CookEast,20,F,138,5180735.19,493815.873,2008,,Fallow,
CookEast,21,F,139,5180719.155,493847.7654,2008,,Garbonzo Beans,256
CookEast,22,F,140,5180748.348,493879.7041,2008,,Garbonzo Beans,247
CookEast,23,F,141,5180745.093,493911.6096,2008,,spring barley,481
CookEast,24,F,142,5180741.06,493943.5143,2008,,winter barley,607
CookEast,25,F,143,5180731.339,493976.78,2008,,spring canola,247
CookEast,26,F,144,5180733.551,494007.3245,2008,,spring canola,248
CookEast,27,F,145,5180734.075,494039.2338,2008,,spring pea,327
CookEast,28,F,146,5180727.042,494071.1357,2008,,spring pea,94
CookEast,29,F,147,5180745.235,494103.0625,2008,,spring pea,217
CookEast,30,F,148,5180720.09,494134.9467,2008,,spring canola,321
CookEast,6,G,149,5180767.357,493350.8639,2008,,spring wheat,344
CookEast,7,G,150,5180776.767,493382.7829,2008,,spring wheat,340
CookEast,8,G,151,5180770.999,493417.8866,2008,,spring wheat,503
CookEast,9,G,152,5180761.607,493447.7845,2008,,winter canola,697
CookEast,10,G,153,5180775.884,493478.5079,2008,,winter canola,470
CookEast,11,G,154,5180758.959,493510.3982,2008,,spring wheat,538
CookEast,12,G,155,5180768.814,493542.3175,2008,,spring wheat,249
CookEast,13,G,156,5180763.557,493574.2206,2008,,winter wheat,85
CookEast,14,G,157,5180770.524,493606.1367,2008,,winter wheat,210
CookEast,15,G,158,5180761.711,493638.036,2008,,winter wheat,576
CookEast,16,G,159,5180769.345,493669.9528,2008,,winter wheat,762
CookEast,17,G,160,5180773.423,493701.8657,2008,,winter wheat,778
CookEast,18,G,161,5180751.388,493733.7514,2008,,winter wheat,498
CookEast,19,G,162,5180765.435,493767.497,2008,,winter wheat,844
CookEast,20,G,163,5180766.989,493797.585,2008,,winter wheat,870
CookEast,21,G,164,5180750.955,493829.4772,2008,,Fallow,
CookEast,22,G,165,5180780.147,493861.4158,2008,,Fallow,
CookEast,23,G,166,5180776.892,493893.3211,2008,,Garbonzo Beans,301
CookEast,24,G,167,5180772.86,493925.2257,2008,,spring barley,407
CookEast,25,G,168,5180764.049,493957.1254,2008,,winter barley,704
CookEast,26,G,169,5180765.35,493989.0354,2008,,winter barley,669
CookEast,27,G,170,5180765.874,494020.9446,2008,,spring canola,235
CookEast,28,G,171,5180758.841,494052.8464,2008,,spring pea,217
CookEast,29,G,172,5180777.034,494084.773,2008,,spring pea,190
CookEast,30,G,173,5180751.889,494116.657,2008,,spring pea,264
CookEast,31,G,174,5180765.637,494148.5791,2008,,spring canola,379
CookEast,6,H,175,5180799.119,493367.9983,2008,,spring wheat,170
CookEast,7,H,176,5180809.416,493398.7136,2008,,spring wheat,369
CookEast,8,H,177,5180805.16,493431.822,2008,,spring wheat,690
CookEast,9,H,178,5180794.569,493463.7189,2008,,spring wheat,608
CookEast,10,H,179,5180807.646,493495.6416,2008,,winter canola,63
CookEast,11,H,180,5180790.721,493527.5319,2008,,spring wheat,455
CookEast,12,H,181,5180800.577,493559.451,2008,,spring wheat,194
CookEast,13,H,182,5180793.198,493593.7796,2008,,winter wheat,213
