"FieldID","Column","Row2","ID2","Easting","Northing","Year","SampleID","Crop","GrainWeightWet","Strip","Field","StripMean","RelativeYield"
"CookEast",14,"N",327,493626.3731,5180992.969,2008,NA,"W C",180.1181102,4,"A",165.409011361111,1.08892561969781
"CookEast",15,"P",374,493667.2694,5181047.709,2008,NA,"W C",165.3543307,4,"A",165.409011361111,0.999669421510587
"CookEast",14,"O",351,493636.6355,5181024.739,2008,NA,"W C",161.4173228,4,"A",165.409011361111,0.97586776845914
"CookEast",13,"L",276,493594.1613,5180922.441,2008,NA,"W C",154.0354331,4,"A",165.409011361111,0.931239669667809
"CookEast",13,"M",301,493598.3173,5180954.217,2008,NA,"W C",140.2559055,4,"A",165.409011361111,0.847933884290026
"CookEast",5,"A",1,493319.2802,5180579.262,2008,NA,"W C",124.015748,4,"A",165.409011361111,0.7497520659818
"CookEast",17,"Q",398,493719.7229,5181093.211,2008,NA,"W C",119.0944882,4,"A",165.409011361111,0.720000000120912
"CookEast",12,"K",252,493543.7083,5180893.14,2008,NA,"W C",102.3622047,4,"A",165.409011361111,0.618842975105685
"CookEast",11,"I",204,493512.3753,5180822.519,2008,NA,"W C",101.8700787,4,"A",165.409011361111,0.615867768398684
"CookEast",16,"Q",397,493690.2107,5181087.133,2008,NA,"W C",99.9015748,4,"A",165.409011361111,0.603966942175241
"CookEast",11,"J",229,493540.2721,5180854.27,2008,NA,"W C",92.51968504,4,"A",165.409011361111,0.559338843021173
"CookEast",17,"R",421,493712.7748,5181114.814,2008,NA,"W C",82.67716535,4,"A",165.409011361111,0.499834710755293
"CookEast",10,"H",179,493495.6416,5180807.646,2008,NA,"W C",31.00393701,4,"A",165.409011361111,0.187438016555906
"CookEast",15,"N",328,493658.2713,5180984.157,2008,NA,"S W",417.3228346,5,"A",278.34645669,1.49929278627312
"CookEast",17,"P",376,493731.096,5181059.421,2008,NA,"S W",389.2716535,5,"A",278.34645669,1.3985148513442
"CookEast",7,"B",24,493404.9749,5180617.838,2008,NA,"S W",360.7283465,5,"A",278.34645669,1.2959688827717
"CookEast",16,"O",353,493700.4489,5181023.561,2008,NA,"S W",352.8543307,5,"A",278.34645669,1.26768033944467
"CookEast",7,"A",3,493383.107,5180586.081,2008,NA,"S W",320.3740157,5,"A",278.34645669,1.15099009884939
"CookEast",9,"E",101,493467.5846,5180699.222,2008,NA,"S W",318.8976378,5,"A",278.34645669,1.14568599720011
"CookEast",12,"J",230,493572.1908,5180864.125,2008,NA,"S W",307.0866142,5,"A",278.34645669,1.10325318256883
"CookEast",14,"L",277,493626.0766,5180929.408,2008,NA,"S W",306.1023622,5,"A",278.34645669,1.09971711456314
"CookEast",15,"O",352,493670.5327,5181014.328,2008,NA,"S W",287.8937008,5,"A",278.34645669,1.03429985861337
"CookEast",8,"C",48,493417.5255,5180646.271,2008,NA,"S W",270.6692913,5,"A",278.34645669,0.972418670310037
"CookEast",16,"P",375,493700.3841,5181054.144,2008,NA,"S W",266.2401575,5,"A",278.34645669,0.95650636500294
"CookEast",11,"G",154,493510.3982,5180758.959,2008,NA,"S W",264.7637795,5,"A",278.34645669,0.951202262994397
"CookEast",6,"A",2,493353.586,5180575.071,2008,NA,"S W",263.7795276,5,"A",278.34645669,0.947666195347967
"CookEast",14,"M",302,493631.4319,5180959.585,2008,NA,"S W",255.9055118,5,"A",278.34645669,0.919377652020938
"CookEast",14,"K",254,493605.1271,5180897.649,2008,NA,"S W",244.0944882,5,"A",278.34645669,0.87694483738966
"CookEast",11,"H",180,493527.5319,5180790.721,2008,NA,"S W",223.9173228,5,"A",278.34645669,0.804455445428505
"CookEast",10,"F",128,493496.7941,5180744.083,2008,NA,"S W",221.9488189,5,"A",278.34645669,0.79738330977638
"CookEast",9,"F",127,493466.0706,5180730.206,2008,NA,"S W",181.5944882,5,"A",278.34645669,0.652404526213335
"CookEast",12,"I",205,493544.2943,5180832.374,2008,NA,"S W",156.988189,5,"A",278.34645669,0.564002828945083
"CookEast",18,"R",422,493745.8715,5181100.965,2008,NA,"S W",156.496063,5,"A",278.34645669,0.562234794942236
"CookEast",20,"R",424,493809.7014,5181116.567,2008,NA,"S W",503.4448819,6,"A",261.939404315652,1.92198987096008
"CookEast",19,"Q",400,493785.929,5181084.589,2008,NA,"S W",372.0472441,6,"A",261.939404315652,1.42035615096559
"CookEast",19,"R",423,493780.1935,5181114.779,2008,NA,"S W",370.0787402,6,"A",261.939404315652,1.41284103919712
"CookEast",10,"D",75,493488.0228,5180680.531,2008,NA,"S W",366.1417323,6,"A",261.939404315652,1.3978108152784
"CookEast",15,"L",278,493657.9751,5180920.595,2008,NA,"S W",354.3307087,6,"A",261.939404315652,1.35272014390401
"CookEast",17,"N",330,493722.0986,5180995.869,2008,NA,"S W",345.4724409,6,"A",261.939404315652,1.31890213999145
"CookEast",16,"N",329,493691.3863,5180990.991,2008,NA,"S W",310.0393701,6,"A",261.939404315652,1.18363012586829
"CookEast",15,"M",303,493663.3302,5180951.172,2008,NA,"S W",308.5629921,6,"A",261.939404315652,1.17799379175561
"CookEast",9,"C",49,493449.4233,5180635.68,2008,NA,"S W",299.2125984,6,"A",261.939404315652,1.14229701018725
"CookEast",8,"A",4,493415.013,5180582.712,2008,NA,"S W",287.8937008,6,"A",261.939404315652,1.09908511685043
"CookEast",18,"Q",399,493754.006,5181069.176,2008,NA,"S W",282.9724409,6,"A",261.939404315652,1.08029733685659
"CookEast",15,"K",255,493637.0257,5180888.836,2008,NA,"S W",276.5748031,6,"A",261.939404315652,1.05587322313183
"CookEast",9,"D",74,493458.4984,5180665.854,2008,NA,"S W",275.5905512,6,"A",261.939404315652,1.05211566743848
"CookEast",16,"M",304,493694.0464,5180960.006,2008,NA,"S W",263.2874016,6,"A",261.939404315652,1.00514621802653
"CookEast",8,"B",25,493436.8807,5180614.469,2008,NA,"S W",245.5708661,6,"A",261.939404315652,0.937510210583181
"CookEast",17,"O",354,493732.3605,5181027.639,2008,NA,"S W",204.2322835,6,"A",261.939404315652,0.779692860772823
"CookEast",13,"J",231,493604.0934,5180858.868,2008,NA,"S W",183.0708661,6,"A",261.939404315652,0.698905407448316
"CookEast",11,"F",129,493528.6847,5180727.158,2008,NA,"S W",176.1811024,6,"A",261.939404315652,0.672602516067768
"CookEast",10,"E",102,493499.5078,5180712.299,2008,NA,"S W",163.8779528,6,"A",261.939404315652,0.625633066655819
"CookEast",12,"G",155,493542.3175,5180768.814,2008,NA,"S W",122.5393701,6,"A",261.939404315652,0.467815716463694
"CookEast",14,"I",207,493606.5134,5180835.683,2008,NA,"S W",118.6023622,6,"A",261.939404315652,0.452785492544975
"CookEast",13,"I",206,493576.197,5180827.117,2008,NA,"S W",99.40944882,6,"A",261.939404315652,0.379513151447065
"CookEast",12,"H",181,493559.451,5180800.577,2008,NA,"S W",95.47244094,6,"A",261.939404315652,0.3644829276047
"CookEast",18,"P",377,493767.3783,5181033.528,2008,NA,"W W",561.515748,1,"B",312.7165354304,1.79560619404782
"CookEast",17,"L",280,493721.8031,5180932.307,2008,NA,"W W",555.6102362,1,"B",312.7165354304,1.7767216416468
