"FieldID","Column","Row2","ID2","Northing","Easting","Year","SampleID","Crop","GrainWeightWet","Strip","Field","StripMean","RelativeYield"
"CookEast",21,"D",86,5180655.602,493838.9978,1999,NA,"SW",526.78,3,"C",533.52125,0.987364608251311
"CookEast",22,"D",87,5180684.795,493870.9368,1999,NA,"SW",474.03,3,"C",533.52125,0.888493194975833
"CookEast",21,"E",113,5180685.551,493851.8467,1999,NA,"SW",470.42,3,"C",533.52125,0.881726829062572
"CookEast",22,"E",114,5180716.564,493882.4199,1999,NA,"SW",340.13,3,"C",533.52125,0.63751912412111
"CookEast",23,"F",141,5180745.093,493911.6096,1999,NA,"SW",377.38,3,"C",533.52125,0.707338273780098
"CookEast",24,"G",167,5180772.86,493925.2257,1999,NA,"SW",410.04,3,"C",533.52125,0.768554204729427
"CookEast",24,"H",193,5180804.623,493942.3571,1999,NA,"SW",526.1,3,"C",533.52125,0.986090057331362
"CookEast",25,"I",218,5180827.609,493959.0978,1999,NA,"SW",638.62,3,"C",533.52125,1.19699074779121
"CookEast",26,"I",219,5180828.91,493991.0075,1999,NA,"SW",715.75,3,"C",533.52125,1.34155856022605
"CookEast",25,"J",243,5180859.362,493986.9922,1999,NA,"SW",720.06,3,"C",533.52125,1.34963696385102
"CookEast",26,"J",244,5180863.394,494016.1704,1999,NA,"SW",594.51,3,"C",533.52125,1.11431362855744
"CookEast",27,"K",267,5180892.999,494019.9263,1999,NA,"SW",704.11,3,"C",533.52125,1.31974124741985
"CookEast",27,"L",290,5180924.759,494040.8736,1999,NA,"SW",563.53,3,"C",533.52125,1.05624658811622
"CookEast",22,"A",16,5180589.461,493861.7552,1999,NA,"SW",676.22,4,"C",517.406666666667,1.3069410264009
"CookEast",21,"B",38,5180592.027,493851.6811,1999,NA,"SW",660.93,4,"C",517.406666666667,1.27738980299184
"CookEast",23,"C",63,5180649.766,493896.169,1999,NA,"SW",632.28,4,"C",517.406666666667,1.22201749751968
"CookEast",23,"D",88,5180681.54,493902.8426,1999,NA,"SW",452.87,4,"C",517.406666666667,0.875268969604824
